"","mean_RT","T1F7","T1F8","T2F1","T2F2","T3F1"
"1",8.774,483322,0.023,0,0,0
"2",9.3735,412604,0.022,0,0,0
"3",9.4468,47239316,0.024,42843595,37109962,35481178
"4",9.7085,493990,0.025,0,0,0
"5",9.8616,1519123,0.038,1736787,791237,1583314
"6",9.96575,761754,0.036,949997,0,736385
"7",10.76825,661178,0.03,531583,0,517701
"8",10.963,425260,0.026,0,0,418437
"9",11.2364,1217340,0.032,1168239,864078,986452
"10",11.4152,4551983,0.031,3800103,2329703,3974442
"11",11.5116,3273799,0.039,3172350,2436606,4576765
"12",11.5855,209953,0.056,0,0,0
"13",11.639,0,0,0,0,790579
"131",12.2888,1071219,0.035,1144744,975472,1486295
"14",12.3388,3773786,0.026,2440454,1487068,1081417
"15",12.3796,3188492,0.033,2124840,1297552,1145508
"16",12.4586,2534686,0.036,1981917,1296738,1268998
"17",12.5308,7848788,0.025,6657814,4941627,5972296
"18",12.616,22750352,0.025,20022813,15074254,9358054
"19",12.96,1770189,0.045,2156576,1484830,1713268
"20",13.0718,11227976,0.041,14586940,9669276,10622513
"21",13.1306,2787240,0.04,3028321,2250072,1638380
"22",13.2478,17401727,0.041,11385130,13320609,9015179
"110",13.311,0,0,3384865,0,3339729
"23",13.4063333333333,1337699,0.042,0,2047516,0
"24",13.49825,2846447,0.069,0,1699730,3250299
"25",13.6144,3759033,0.064,5449290,4245644,4714282
"26",13.6966,7563926,0.038,7788404,6186592,4685377
"27",13.7952,34028703,0.032,35005187,28271011,15504471
"28",13.9264,2916703,0.081,5559804,2733844,2732817
"29",14.2234,2433530,0.055,3918361,1820662,1881934
"30",14.3926,2785995,0.043,4852343,3115884,2248826
"31",14.481,4236544,0.035,4519699,3325255,3128719
"32",14.5344,9817351,0.052,12936815,10744608,7886678
"33",14.7294,2237039,0.165,11158266,1889146,5386166
"113",14.764,0,0,0,3653282,0
"34",15.1853333333333,1299913,0,2502946,1160441,0
"35",15.30575,1347211,0.043,1801714,1231478,0
